baseline,baseline_context_length,baseline_mae,baseline_mase,baseline_mode,baseline_season_length,context_length,dataset,domain,empirical_coverage_90,excess_variance,failure_delta_005,flatness_score,forecast_variance_ratio,full_context_length,horizon,mae,mase,model,origin,over_smoothing,prediction_amplitude_ratio,regime,relative_error_ratio,rmse,run_id,series_id,spike_recall,window_index
naive,2048,14.965502421061197,0.4767447838948558,rolling_pre_origin,48,512,bitbrains_fast_storage/5T/short,Web/CloudOps,0.6875,0,0,0.9814141197638915,0.0002016425347936571,7776,48,14.87320073445638,0.4738043983070244,timesfm_2_5,7776,0,0.01858588023610851,external_locked,0.9938323696720056,26.0095145975881,external_v1_timesfm_bitbrains_fast_storage_5t_short_1784706950,fastStorage_860_dim0,0.3333333333333333,0
naive,2048,0.28779760996500653,0.47674395946095394,rolling_pre_origin,48,512,bitbrains_fast_storage/5T/short,Web/CloudOps,0.6875,0,0,0.9814145472729946,0.00020163303118105936,7776,48,0.28602264324824017,0.4738036825748273,timesfm_2_5,7776,0,0.0185854527270054,external_locked,0.9938325870114905,0.5001823606702887,external_v1_timesfm_bitbrains_fast_storage_5t_short_1784706950,fastStorage_860_dim1,0.3333333333333333,0
auto_arima,2048,11.681519471985036,1.007102627500882,rolling_pre_origin,48,512,bitbrains_fast_storage/5T/short,Web/CloudOps,0.7916666666666666,0,0,0.3993318614504432,0.28375225002166937,7776,48,9.016509691874186,0.7773432748497234,timesfm_2_5,7776,0,0.6006681385495568,external_locked,0.7718610334466396,12.637711874886854,external_v1_timesfm_bitbrains_fast_storage_5t_short_1784706950,fastStorage_142_dim0,0.0,0
auto_arima,2048,0.2246447142752701,1.0071028017370574,rolling_pre_origin,48,512,bitbrains_fast_storage/5T/short,Web/CloudOps,0.7916666666666666,0,0,0.3993318650351485,0.28375221573738346,7776,48,0.17339461048444113,0.7773438987351684,timesfm_2_5,7776,0,0.6006681349648515,external_locked,0.7718615193910099,0.24303313036216828,external_v1_timesfm_bitbrains_fast_storage_5t_short_1784706950,fastStorage_142_dim1,0.0,0
naive,2048,6.502221425374349,0.29825940004530216,rolling_pre_origin,48,512,bitbrains_fast_storage/5T/short,Web/CloudOps,1.0,0,0,0.2174835975378503,0.9238196867882227,7776,48,2.2995186150074005,0.10547980415256701,timesfm_2_5,7776,0,0.7825164024621497,external_locked,0.353651231567319,3.2595497655602683,external_v1_timesfm_bitbrains_fast_storage_5t_short_1784706950,fastStorage_347_dim0,0.0,0
naive,2048,0.055555557482875884,0.2982593944176547,rolling_pre_origin,48,512,bitbrains_fast_storage/5T/short,Web/CloudOps,1.0,0,0,0.2174830377073983,0.9238209969669309,7776,48,0.019647290658516187,0.10547979858833981,timesfm_2_5,7776,0,0.7825169622926017,external_locked,0.35365121957814033,0.027849883501294304,external_v1_timesfm_bitbrains_fast_storage_5t_short_1784706950,fastStorage_347_dim1,0.0,0
naive,2048,9584.680785020193,1.0076626424148136,rolling_pre_origin,48,512,bitbrains_fast_storage/5T/short,Web/CloudOps,0.6666666666666666,0,0,0.9469738676238483,0.0009354073408076804,7776,48,9430.332559108734,0.9914356083943319,timesfm_2_5,7776,0,0.05302613237615175,external_locked,0.9838963623960549,12899.572897294445,external_v1_timesfm_bitbrains_fast_storage_5t_short_1784706950,fastStorage_277_dim0,0.0,0
naive,2048,46.080209237212934,1.007662703461242,rolling_pre_origin,48,512,bitbrains_fast_storage/5T/short,Web/CloudOps,0.6666666666666666,0,0,0.9469745215328325,0.0009354038013111384,7776,48,45.33814873484274,0.9914356353917182,timesfm_2_5,7776,0,0.05302547846716756,external_locked,0.9838963295815091,62.01719398700822,external_v1_timesfm_bitbrains_fast_storage_5t_short_1784706950,fastStorage_277_dim1,0.0,0
naive,2048,27.274499495824177,0.5849003993043416,rolling_pre_origin,48,512,bitbrains_fast_storage/5T/short,Web/CloudOps,0.9375,0,0,0.5195128507069785,0.16971606245311316,7776,48,9.550791104634603,0.20481628018979448,timesfm_2_5,7776,0,0.4804871492930215,external_locked,0.3501729190703028,13.53425422113387,external_v1_timesfm_bitbrains_fast_storage_5t_short_1784706950,fastStorage_758_dim0,0.3333333333333333,0
naive,2048,0.932142898440361,0.5849003460829958,rolling_pre_origin,48,512,bitbrains_fast_storage/5T/short,Web/CloudOps,0.9375,0,0,0.5195127625040641,0.16971608152255072,7776,48,0.3264112373193105,0.2048162851349112,timesfm_2_5,7776,0,0.4804872374959359,external_locked,0.35017295938756143,0.46255146261210184,external_v1_timesfm_bitbrains_fast_storage_5t_short_1784706950,fastStorage_758_dim1,0.3333333333333333,0
auto_arima,2048,5475.159115279355,0.5496009624973752,rolling_pre_origin,48,512,bitbrains_fast_storage/5T/short,Web/CloudOps,0.7916666666666666,0,1,0.8850144194873873,0.008706676722714368,7776,48,5909.47318871816,0.5931977653961242,timesfm_2_5,7776,1,0.11498558051261262,external_locked,1.0793244660646988,7549.298538261329,external_v1_timesfm_bitbrains_fast_storage_5t_short_1784706950,fastStorage_233_dim0,0.0,0
auto_arima,2048,25.673468205215283,0.5566583766514998,rolling_pre_origin,48,512,bitbrains_fast_storage/5T/short,Web/CloudOps,0.7916666666666666,0,1,0.8850143749398429,0.008706680425004,7776,48,27.35869020285706,0.5931977695378143,timesfm_2_5,7776,1,0.11498562506015704,external_locked,1.0656406054752812,34.950482428067765,external_v1_timesfm_bitbrains_fast_storage_5t_short_1784706950,fastStorage_233_dim1,0.0,0
seasonal_naive_48,2048,364.86652151743573,0.3601846775447218,rolling_pre_origin,48,512,bitbrains_fast_storage/5T/short,Web/CloudOps,0.9375,0,0,0.8535786784186544,0.005171770810418624,7776,48,294.92389424641925,0.29113953044415974,timesfm_2_5,7776,0,0.14642132158134555,external_locked,0.8083062623007056,375.7654817605216,external_v1_timesfm_bitbrains_fast_storage_5t_short_1784706950,fastStorage_894_dim0,0.0,0
seasonal_naive_48,2048,3.5083333551883698,0.36018468116841706,rolling_pre_origin,48,512,bitbrains_fast_storage/5T/short,Web/CloudOps,0.9375,0,0,0.853578421701139,0.0051717926577460405,7776,48,2.835807959238688,0.2911395475412012,timesfm_2_5,7776,0,0.14642157829886102,external_locked,0.8083063016358145,3.6131310310642126,external_v1_timesfm_bitbrains_fast_storage_5t_short_1784706950,fastStorage_894_dim1,0.0,0
naive,2048,2.527796427408854,0.17615107439997493,rolling_pre_origin,48,512,bitbrains_fast_storage/5T/short,Web/CloudOps,0.9583333333333334,0,0,0.9329618195888375,0.004085439395225575,7776,48,2.4857686360677085,0.17322234148496346,timesfm_2_5,7776,0,0.06703818041116247,external_locked,0.9833737436739675,3.2661589474212755,external_v1_timesfm_bitbrains_fast_storage_5t_short_1784706950,fastStorage_826_dim0,0.0,0
naive,2048,0.024305264155069988,0.1761479543666444,rolling_pre_origin,48,512,bitbrains_fast_storage/5T/short,Web/CloudOps,0.9583333333333334,0,0,0.932961194723349,0.004085458231767925,7776,48,0.02390114466349284,0.17321917230088132,timesfm_2_5,7776,0,0.06703880527665095,external_locked,0.9833731701090678,0.03140490981792828,external_v1_timesfm_bitbrains_fast_storage_5t_short_1784706950,fastStorage_826_dim1,0.0,0
